Suburb,Postcode,State,Country,Latitude,Longitude
Beswick Creek,0852,Northern Territory,Australia,-15.00454541,133.3767512
Binjari,0852,Northern Territory,Australia,-14.55010913,132.1841658
Birdum,0852,Northern Territory,Australia,-15.65,133.2166667
Bradshaw,0852,Northern Territory,Australia,-15.00454541,133.3767512
Buchanan,0852,Northern Territory,Australia,-15.00454541,133.3767512
Bulman Weemol,0852,Northern Territory,Australia,-15.00454541,133.3767512
Creswell,0852,Northern Territory,Australia,-15.00454541,133.3767512
Daguragu,0852,Northern Territory,Australia,-17.41926865,130.8021085
Daly Waters,0852,Northern Territory,Australia,-16.253333,133.369323
Delamere,0852,Northern Territory,Australia,-15.00454541,133.3767512
Edith,0852,Northern Territory,Australia,-15.00454541,133.3767512
Elsey,0852,Northern Territory,Australia,-15.00454541,133.3767512
Florina,0852,Northern Territory,Australia,-15.00454541,133.3767512
Flying Fox,0852,Northern Territory,Australia,-15.00454541,133.3767512
Gregory,0852,Northern Territory,Australia,-15.00454541,133.3767512
Gulung Mardrulk,0852,Northern Territory,Australia,-15.00454541,133.3767512
Gurindji,0852,Northern Territory,Australia,-15.00454541,133.3767512
Helen Springs Station,0852,Northern Territory,Australia,-15.00454541,133.3767512
Jilkminggan,0852,Northern Territory,Australia,-14.96147779,133.292842
Kalkarindji,0852,Northern Territory,Australia,-17.447599,130.834442
Katherine,0852,Northern Territory,Australia,-14.46517,132.263474
Lajamanu,0852,Northern Territory,Australia,-16.04320884,132.421889
Larrimah,0852,Northern Territory,Australia,-16.04320884,132.421889
Limmen,0852,Northern Territory,Australia,-15.52413293,134.8004233
Manbulloo,0852,Northern Territory,Australia,-15.00454541,133.3767512
Maranboy,0852,Northern Territory,Australia,-14.5333333,132.7833333
Mataranka,0852,Northern Territory,Australia,-14.92127,133.065002
Mcarthur,0852,Northern Territory,Australia,-15.00454541,133.3767512
Miniyeri,0852,Northern Territory,Australia,-15.22545179,134.0798088
Ngukurr,0852,Northern Territory,Australia,-14.73081,134.731018
